Trimestre;MSE;PIB;SMIC;TCHOF
1990Q1;291452036;359678;4,56;9,8
1990Q2;299045859;359917;4,65;9,69999999999999
1990Q3;289871263;360254;4,77;9,6
1990Q4;309375209;361162;4,77;9,6
1991Q1;307784273;360721;4,87;9,5
1991Q2;314556939;363453;4,87;9,6
1991Q3;304253163;364657;4,98;9,9
1991Q4;319793697;366894;4,98;10,1
1992Q1;342882846;369972;4,98;10,4
1992Q2;363552559;369378;5,08;10,5
1992Q3;359144269;369228;5,19;10,6
1992Q4;394588358;368343;5,19;10,7
1993Q1;400600770;365746;5,19;10,8
1993Q2;418767179;366641;5,19;11
1993Q3;409435377;367777;5,31;11,2
1993Q4;440650084;368721;5,31;11,5
1994Q1;447655377;370443;5,31;11,7
1994Q2;441437301;374762;5,31;11,8
1994Q3;428491929;377378;5,42;11,7
1994Q4;462382718;380198;5,42;11,6
1995Q1;489403614;382219;5,42;11,5
1995Q2;523427528;384140;5,42;11,3
1995Q3;520645700;384393;5,64;11,1
1995Q4;585293222;384754;5,64;11,1
1996Q1;605481912;387630;5,64;11,5
1996Q2;637345199;387910;5,75;11,7
1996Q3;620929255;390183;5,78;11,6
1996Q4;693930202;390740;5,78;11,5
1997Q1;694078747;391844;5,78;11,6
1997Q2;742790029;396994;5,78;11,6
1997Q3;705626989;399865;6,01;11,6
1997Q4;781659879;404285;6,01;11,5
1998Q1;751853461;407658;6,01;11,4
1998Q2;764887013;410786;6,01;11,3
1998Q3;712604373;414253;6,13;11,2
1998Q4;789360130;416963;6,13;11,1
1999Q1;768634467;419280;6,13;11,2
1999Q2;798516683;423090;6,13;11,1
1999Q3;737314243;428194;6,21;10,8
1999Q4;811649017;433512;6,21;10,4
2000Q1;805609263;437845;6,21;10
2000Q2;819465502;441572;6,21;9,6
2000Q3;753394843;444821;6,41;9,3
2000Q4;852894172;448410;6,41;9,1
2001Q1;828019705;450463;6,41;8,9
2001Q2;840926933;451509;6,41;8,69999999999999
2001Q3;790393915;452828;6,67;8,6
2001Q4;909916229;452778;6,67;8,5
2002Q1;886069132;454625;6,67;8,3
2002Q2;948099119;456361;6,67;8,3
2002Q3;967415890;458052;6,83;8,4
2002Q4;962666621;457942;6,83;8,4
2003Q1;973115820;458828;6,83;8,9
2003Q2;993865109;457934;6,83;9,1
2003Q3;931578478;461192;7,19;8,69999999999999
2003Q4;1034468893;464714;7,19;9,19999999999999
2004Q1;1067822218;468945;7,19;9,6
2004Q2;1077103476;471593;7,19;9,19999999999999
2004Q3;999604537;473342;7,61;9,19999999999999
2004Q4;1119614196;476460;7,61;9,19999999999999
2005Q1;1138117412;477814;7,61;8,9
2005Q2;1175160266;478542;7,61;9,1
2005Q3;1078056429;480927;8,02999999999999;9,5
2005Q4;1207563118;484193;8,02999999999999;9,6
2006Q1;1274869883;488294;8,02999999999999;9,6
2006Q2;1315669773;492685;8,02999999999999;9,19999999999999
2006Q3;1194036510;492846;8,27;9,4
2006Q4;1357396855;496335;8,27;8,3
2007Q1;1372452813;500106;8,27;8,6
2007Q2;1411141703;503727;8,27;8,3
2007Q3;1282296764;505550;8,44;8
2007Q4;1451423191;507116;8,44;7,5
2008Q1;1458623757;508914;8,44;7,1
2008Q2;1514389255;506489;8,63;7,4
2008Q3;1359218311;504994;8,71;7,5
2008Q4;1510972259;497605;8,71;7,8
2009Q1;1498813934;489352;8,71;8,4
2009Q2;1547402917;488574;8,71;8,9
2009Q3;1386946927;489509;8,82;9
2009Q4;1557260011;492584;8,82;9
2010Q1;1550488499;494803;8,86;9
2010Q2;1601089470;497892;8,86;9
2010Q3;1402601241;500794;8,86;9
2010Q4;1542956482;503617;8,86;9,3
2011Q1;1540968621;509137;9;9,3
2011Q2;1566894011;508961;9;9
2011Q3;1366413419;510240;9;9,1
2011Q4;1536170025;510750;9;9
2012Q1;1556062951;511076;9,22;9
2012Q2;1551386523;510618;9,22;9,4
2012Q3;1361986784;511275;9,4;9,3
2012Q4;1529197882;510763;9,4;9,6
2013Q1;1578856029;510764;9,43;9,8
2013Q2;1628077012;514347;9,43;9,9
2013Q3;1422288767;514441;9,43;9,69999999999999
2013Q4;1574667921;516685;9,43;9,69999999999999
2014Q1;1541692871;516955;9,52999999999999;9,4
2014Q2;1573687483;517993;9,52999999999999;9,6
2014Q3;1393523037;520770;9,52999999999999;9,69999999999999
2014Q4;1552003986;520918;9,52999999999999;9,69999999999999
2015Q1;1517537719;522915;9,61;9,6
2015Q2;1555782274;522855;9,61;9,6
2015Q3;1366066836;524926;9,61;9,5
2015Q4;1532336350;526190;9,61;9,4
2016Q1;1510425099;529325;9,67;9,5
2016Q2;1561039625;528866;9,67;9,3
2016Q3;1362716118;529798;9,67;9,8
2016Q4;1522089739;532359;9,67;9,5
2017Q1;1529646457;534745;9,76;9,4
2017Q2;1523492642;;9,76;9
2017Q3;;;9,76;8,9
2017Q4;;;9,76;8,9
2018Q1;;;;
2018Q2;;;;
2018Q3;;;;
2018Q4;;;;
2019Q1;;;;
2019Q2;;;;
2019Q3;;;;
2019Q4;;;;
2020Q1;;;;
2020Q2;;;;
2020Q3;;;;
2020Q4;;;;
